order_id,customer_id,product_id,price,order_ts
O-860748,C-100005,3002,30.0,2026-05-12T17:38:01.000Z
O-860751,C-100030,3006,5.0,2026-05-12T17:38:31.000Z
O-860754,C-100022,3008,20.0,2026-05-12T17:39:01.000Z
O-860757,C-100026,3009,17.0,2026-05-12T17:39:31.000Z
O-860760,C-100021,3011,10.0,2026-05-12T17:40:01.000Z
O-860763,C-100020,3015,8.99,2026-05-12T17:40:31.000Z
O-860766,C-100042,3005,15.0,2026-05-12T17:41:01.000Z
O-860769,C-100006,3003,365.0,2026-05-12T17:41:31.000Z
O-860772,C-100010,3007,165.0,2026-05-12T17:42:01.000Z
O-860775,C-100045,3012,100.0,2026-05-12T17:42:31.000Z
O-860778,C-100013,3001,245.0,2026-05-12T17:43:01.000Z
O-860781,C-100047,3017,23.99,2026-05-12T17:43:31.000Z
O-860784,C-100003,3005,15.0,2026-05-12T17:44:01.000Z
O-860787,C-100034,3010,30.0,2026-05-12T17:44:31.000Z
O-860790,C-100019,3006,5.0,2026-05-12T17:45:01.000Z
O-860793,C-100041,3012,100.0,2026-05-12T17:45:31.000Z
O-860796,C-100008,3016,16.0,2026-05-12T17:46:01.000Z
O-860799,C-100027,3004,28.0,2026-05-12T17:46:31.000Z
O-860802,C-100015,3007,165.0,2026-05-12T17:47:01.000Z
O-860805,C-100039,3013,15.0,2026-05-12T17:47:31.000Z
O-860808,C-100002,3011,10.0,2026-05-12T17:48:01.000Z
O-860811,C-100031,3015,8.99,2026-05-12T17:48:31.000Z
O-860814,C-100046,3003,365.0,2026-05-12T17:49:01.000Z
O-860817,C-100011,3014,15.0,2026-05-12T17:49:31.000Z
O-860820,C-100024,3008,20.0,2026-05-12T17:50:01.000Z
O-860823,C-100048,3002,30.0,2026-05-12T17:50:31.000Z
O-860826,C-100007,3009,17.0,2026-05-12T17:51:01.000Z
O-860829,C-100036,3001,245.0,2026-05-12T17:51:31.000Z
O-860832,C-100017,3016,16.0,2026-05-12T17:52:01.000Z
O-860835,C-100043,3005,15.0,2026-05-12T17:52:31.000Z
O-860838,C-100001,3010,30.0,2026-05-12T17:53:01.000Z
O-860841,C-100029,3006,5.0,2026-05-12T17:53:31.000Z
O-860844,C-100014,3017,23.99,2026-05-12T17:54:01.000Z
O-860847,C-100037,3012,100.0,2026-05-12T17:54:31.000Z
O-860850,C-100023,3004,28.0,2026-05-12T17:55:01.000Z
O-860853,C-100049,3011,10.0,2026-05-12T17:55:31.000Z
O-860856,C-100004,3007,165.0,2026-05-12T17:56:01.000Z
O-860859,C-100033,3013,15.0,2026-05-12T17:56:31.000Z
O-860862,C-100018,3003,365.0,2026-05-12T17:57:01.000Z
O-860865,C-100040,3015,8.99,2026-05-12T17:57:31.000Z
O-860868,C-100009,3014,15.0,2026-05-12T17:58:01.000Z
O-860871,C-100025,3008,20.0,2026-05-12T17:58:31.000Z
O-860874,C-100044,3002,30.0,2026-05-12T17:59:01.000Z
O-860877,C-100016,3009,17.0,2026-05-12T17:59:31.000Z
O-860880,C-100032,3001,245.0,2026-05-12T18:00:01.000Z
O-860883,C-100012,3016,16.0,2026-05-12T18:00:31.000Z
O-860886,C-100038,3005,15.0,2026-05-12T18:01:01.000Z
O-860889,C-100000,3010,30.0,2026-05-12T18:01:31.000Z
O-860892,C-100028,3006,5.0,2026-05-12T18:02:01.000Z
O-860895,C-100035,3017,23.99,2026-05-12T18:02:31.000Z
O-860898,C-100020,3004,28.0,2026-05-12T18:03:01.000Z
O-860901,C-100005,3011,10.0,2026-05-12T18:03:31.000Z
O-860904,C-100042,3007,165.0,2026-05-12T18:04:01.000Z
O-860907,C-100026,3013,15.0,2026-05-12T18:04:31.000Z
O-860910,C-100030,3003,365.0,2026-05-12T18:05:01.000Z
O-860913,C-100021,3015,8.99,2026-05-12T18:05:31.000Z
O-860916,C-100022,3014,15.0,2026-05-12T18:06:01.000Z
O-860919,C-100006,3008,20.0,2026-05-12T18:06:31.000Z
O-860922,C-100045,3002,30.0,2026-05-12T18:07:01.000Z
O-860925,C-100010,3009,17.0,2026-05-12T18:07:31.000Z
